code,name_cn,name_en,group,fifa_rank_apr2026,head_coach,coach_nationality,formation_guess,recent_w_d_l_12m,key_strength,key_weakness,title_odds_tier,predicted_finish
ARG,阿根廷,Argentina,J,3,Lionel Scaloni,阿根廷,4-3-3,9W-2D-1L,卫冕冠军+梅西末舞+中场厚度,中卫年龄结构,A+(夺冠大热),冠军/亚军
BRA,巴西,Brazil,C,6,Carlo Ancelotti,意大利,4-2-3-1,7W-2D-3L,维尼修斯/拉菲尼亚/库尼亚边路爆点,Rodrygo ACL报销+中卫与中场组织不稳,A-(夺冠热门降档),八强
FRA,法国,France,I,1,Didier Deschamps,法国,4-2-3-1,8W-2D-2L,姆巴佩+全位置厚度,死亡之组I+主帅离任倒计时,A(夺冠热门),四强
ESP,西班牙,Spain,H,2,Luis de la Fuente,西班牙,4-3-3 tiki-taka,11W-3D-0L,卫冕欧洲冠军+亚马尔/罗德里中轴,锋线无超级中锋,A+(夺冠大热),冠军/亚军
ENG,英格兰,England,L,4,Thomas Tuchel,德国,4-3-3,6W-2D-3L,贝林厄姆/萨卡/凯恩超强中前场,3月被日本1-0/6月被塞内加尔3-1心理冲击,A-(实力够运气欠),四强
POR,葡萄牙,Portugal,K,5,Roberto Martínez,西班牙,4-3-3,9W-3D-1L,2025欧国联冠军+B费/C罗/莱奥,K组对手哥伦比亚不弱,A(夺冠热门),四强-决赛
NED,荷兰,Netherlands,F,7,Ronald Koeman,荷兰,4-3-3,5W-3D-3L,范戴克+加克波+雷恩德斯,de Ligt背部手术+Simons ACL双报销+死亡组F+6/3输阿尔及利亚,B(下调),十六强(50%出线)
GER,德国,Germany,E,10,Julian Nagelsmann,德国,4-2-3-1,6W-2D-4L,穆西亚拉+维尔茨+菲尔克鲁格,中卫脆弱+欧国联输瑞士3-4,B+,八强
BEL,比利时,Belgium,G,9,Rudi Garcia,法国,3-4-2-1,7W-2D-0L,德布劳内+卢卡库+多库黄金一代余晖,中卫老化(费内通已退),B,八强
HRV,克罗地亚,Croatia,L,11,Zlatko Dalić,克罗地亚,4-3-3,7W-1D-0L,莫德里奇40岁仍为核心+科瓦契奇,中前场年轻化未完成,B,十六强-八强
MAR,摩洛哥,Morocco,C,8,Mohamed Ouahbi(代/接Regragui),摩洛哥,4-3-3 高压逼抢,9W-2D-0L,2025非洲杯冠军+哈基米+阿姆拉巴特,缺顶级中锋,B+(黑马),八强(可能再创奇迹)
JPN,日本,Japan,F,18,Hajime Moriyasu,日本,3-4-2-1,8W-1D-2L,3/31温布利1-0英格兰(亚洲史首胜),客场抗压偶有崩盘,B(头号黑马),十六强-八强
URU,乌拉圭,Uruguay,H,17,Marcelo Bielsa,阿根廷,4-3-3 高压,5W-2D-3L,努涅斯/巴尔韦德/阿劳霍,主帅Bielsa更衣室关系紧张传闻,B,十六强
COL,哥伦比亚,Colombia,K,13,Néstor Lorenzo,阿根廷,4-2-3-1,7W-2D-1L,J罗状态回升+路易斯·迪亚斯,K组遭遇葡萄牙难拿头名,B,十六强-八强
SEN,塞内加尔,Senegal,I,14,Pape Thiaw,塞内加尔,4-3-3,9W-1D-2L,马内+尼古拉斯·杰克逊+伊斯梅拉·萨尔/2025/06客胜英格兰3-1,死亡组I+非洲杯决赛改判心理伤,B+(黑马),十六强(死亡组生还)
NOR,挪威,Norway,I,31,Ståle Solbakken,挪威,4-3-3,9W-2D-1L,哈兰德49场55球+厄德高/努萨,28年来首次世界杯缺经验,B(黑马),十六强(死亡组淘汰可能性大)
MEX,墨西哥,Mexico,A,15,Javier Aguirre,墨西哥,4-3-3,6W-3D-2L,东道主+赫梅内斯/圣地亚哥·希门尼斯,缺世界级中场,B,十六强-八强
USA,美国,United States,D,16,Mauricio Pochettino,阿根廷,4-3-3,3W-3D-5L,东道主主场+普利西奇/雷纳/穆萨,2025/06输土耳其+5月输塞内加尔,B-,十六强
CAN,加拿大,Canada,B,30,Jesse Marsch,美国,4-3-3 高压,5W-3D-3L,戴维斯+乔纳森·戴维黄金一代,11月被瓜地马拉点球淘汰金杯,C+,小组出线
SUI,瑞士,Switzerland,B,19,Murat Yakin,瑞士,4-2-3-1,11W-2D-1L,扎卡老兵+阿坎吉+恩多耶/3月差点掀翻德国(3-4),无超级巨星,B(B组隐性种子),十六强
